Time (s),Bx (µT),By (µT),Bz (µT),ωy (rad/s),Voltage (mV)
23.420000076293945,-42.4129638671875,18.6390323638916,-47.687896728515625,5.267136573791504,0.00841560773551464
23.43000030517578,-39.888736724853516,18.888654708862305,-49.33138656616211,5.080155372619629,0.008075623773038387
23.440000534057617,-37.16118621826172,19.2630558013916,-50.62520980834961,4.882706165313721,0.0094191525131464
23.450000762939453,-34.3060302734375,18.92962074279785,-55.901710510253906,4.687252521514893,0.00890955701470375
23.459999084472656,-31.31521224975586,19.12298011779785,-60.47248840332031,4.488042831420898,0.008627486415207386
23.469999313354492,-28.211400985717773,19.263898849487305,-62.15229797363281,4.282104969024658,0.007620790507644415
23.479999542236328,-25.48349952697754,19.48286247253418,-62.8245849609375,4.076951503753662,0.007555053569376469
23.489999771118164,-23.165163040161133,19.78064727783203,-64.37857055664062,3.871793508529663,0.008385401219129562
23.5,-19.70892333984375,19.44721221923828,-66.91910552978516,3.6629624366760254,0.00835997611284256
23.510000228881836,-16.526351928710938,19.64510726928711,-69.28170013427734,3.4564783573150635,0.008640415966510773
23.520000457763672,-14.067560195922852,19.67427635192871,-70.84996795654297,3.2549023628234863,0.007605904713273048
23.530000686645508,-12.088326454162598,19.590917587280273,-71.86052703857422,3.0429069995880127,0.007314055226743221
23.540000915527344,-10.110028266906738,19.535303115844727,-72.67475128173828,2.8272924423217773,0.007849293760955334
23.549999237060547,-7.254875183105469,19.618661880493164,-73.6518783569336,2.630143165588379,0.008105178363621235
23.559999465942383,-5.365734577178955,19.855125427246094,-74.98795318603516,2.435229778289795,0.008372579701244831
23.56999969482422,-4.771193504333496,19.937576293945312,-75.43898010253906,2.0262060165405273,0.007604274898767471
23.579999923706055,-4.327040195465088,20.043169021606445,-75.43898010253906,1.9616073369979858,0.006802720949053764
23.59000015258789,-3.0395689010620117,20.26420783996582,-75.4730224609375,1.8011794090270996,0.007059040013700724
23.600000381469727,-0.6352294087409973,20.347564697265625,-75.66844940185547,1.5892139673233032,0.007069579791277647
23.610000610351562,0.9340882897377014,20.122121810913086,-74.2349624633789,1.376169204711914,0.007828866131603718
23.6200008392334,2.1311166286468506,20.324230194091797,-74.65924835205078,1.1672253608703613,0.007099350914359093
23.6299991607666,3.1830151081085205,20.597640991210938,-74.68265533447266,0.9571922421455383,0.006259876769036055
23.639999389648438,4.0708537101745605,20.696168899536133,-73.35054016113281,0.7459255456924438,0.0075828698463737965
23.649999618530273,4.22112512588501,20.86288833618164,-73.93681335449219,0.5414721369743347,0.007592322770506144
